Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-11-01,Huamak,Train,1.0077686083941075,-0.5671738134267984,0.9749279121818236,1.0069344179119242,1.0592710371059635,0.6985677365741223,0.08776396486607853,0.7849748103069629,0.20990701512166887,1.0
2023-11-02,Huamak,Train,1.0661082914424915,-0.8573998784913457,0.43388373911755823,0.9717210542030249,1.0599381047213112,0.6942009991848547,0.07455506432476773,0.7778816104785239,0.1897999198576023,1.0
2023-11-03,Huamak,Train,1.0982957027795308,0.15839134923457404,-0.433883739117558,0.9365076904941257,1.060605172336659,0.7112826483840509,0.12752751458411563,0.7818795958363713,0.20190602494942755,1.0
2023-11-04,Huamak,Train,-0.3628786577081538,0.0616493275463899,-0.9749279121818236,-0.244444192409882,-0.23217186620735086,0.7337585025935195,0.1912496128222145,0.7919390428657933,0.23289577903937128,0.0
2023-11-05,Huamak,Train,-0.33672638599680926,-0.22857673751815907,-0.7818314824680299,-0.7915555285537045,-0.6977850617201057,0.7160346861311951,0.27960908733435985,0.7709173779196927,0.3448491084404617,0.0
2023-11-06,Huamak,Train,1.0131331769502807,0.11002033839048198,0.0,0.7343568988319268,0.8491447382714108,0.7920672900855119,-0.28397058356129296,0.8449445906746716,-0.1852360434383775,1.0
2023-11-07,Huamak,Train,1.1573059568974364,-0.180205726674067,0.7818314824680298,0.9984571266486706,1.0252505887232264,0.8345787629045645,-0.2131223549815552,0.8795078189296099,-0.11599755909481836,1.0
2023-11-08,Huamak,Train,1.0801902839024462,0.01327831670229783,0.9749279121818236,0.9847630407618765,1.0225823182618352,0.8427985038725985,-0.19077044617714858,0.9077516509737573,-0.03470451902799966,1.0
2023-11-09,Huamak,Train,1.092260563153836,-0.5671738134267984,0.43388373911755823,1.0584502648193876,1.0806172007970927,0.8530731800826414,-0.16406588641852163,0.9216801160914182,-0.0003297500445782731,1.0
2023-11-10,Huamak,Train,1.2612444726732928,-0.37368977005043186,-0.433883739117558,1.0506250728840767,1.1126364463337863,0.8534584804405182,-0.16295281671382944,0.92670983960613,0.012928693923992611,1.0
2023-11-11,Huamak,Train,0.0300759890315356,-0.7122868459590729,-0.9749279121818236,-0.33443389966595766,-0.34090388750904005,0.8697695289239609,-0.11327326550997256,0.9580488861208681,0.11186313416055199,0.0
2023-11-12,Huamak,Train,-0.5043691533772229,-0.3253187592063415,-0.7818314824680299,-0.4055127264116986,-0.31488825051047636,0.9563336759935721,-0.5939562176108283,1.0336237061111424,-0.3450022887662774,0.0
2023-11-13,Huamak,Train,0.9487583542762019,-0.3253187592063415,0.0,0.9502017763809198,1.0279188591846176,0.915106537700775,-0.23872293971947606,1.0013818887091486,-0.08412441683045356,1.0
2023-11-14,Huamak,Train,1.2257042059886452,-0.27694774836224945,0.7818314824680298,1.0401914836369957,1.1713383964843915,0.9169046060375325,-0.23526877758408843,0.989001030826783,-0.10512617137497025,1.0
2023-11-15,Huamak,Train,1.1023191291966608,-0.470431791738616,0.9749279121818236,1.0369309869972827,1.094625620719396,0.9458021328782777,-0.15159777831161333,1.0021556923267967,-0.06435633717308528,1.0
2023-11-16,Huamak,Train,1.6287174187711593,-0.6639158351149809,0.43388373911755823,1.0604065628032155,1.1066328377956562,0.9668652191088656,-0.09749858747683422,1.0064116122238596,-0.054277227708919684,1.0
2023-11-17,Huamak,Train,1.179434802191651,-1.8248200953731732,-0.433883739117558,1.1334416875327842,1.2747338768632985,1.0059089887070285,0.012610263721170493,1.1095854279102417,0.32689533384724667,1.0
2023-11-18,Huamak,Train,-0.35080837845676405,-2.3569012146581794,-0.9749279121818236,0.10508104736733952,0.04999773508476276,1.0093766919279181,0.021515289769404443,1.0938514210180683,0.2876488802327111,0.0
2023-11-19,Huamak,Train,-0.8235609824695302,-2.3569012146581794,-0.7818314824680299,-0.6148366106812659,-0.48165515434742295,0.9312891527315924,0.40429477263987074,1.0205980118807374,0.6835946633602287,0.0
2023-11-20,Huamak,Train,1.1291419719775269,-1.728078073684991,0.0,0.959331166972116,0.96388036811123,0.8885208130072894,0.7371654624875658,0.9592095915473403,1.1313532333298297,1.0
2023-11-21,Huamak,Train,1.206257644972517,-1.1959969543999867,0.7818314824680298,1.1869138324240756,1.2393792932498657,0.873879399407978,0.7155308789712655,0.9939017870718855,1.1874458116169875,1.0
2023-11-22,Huamak,Train,1.1392005380203518,-0.7122868459590729,0.9749279121818236,1.1438752767798654,1.116638852025873,0.8734940990501012,0.7143987069454109,0.9901617362532543,1.178358306254228,1.0
2023-11-23,Huamak,Train,1.0929311342233576,-0.5188028025827064,0.43388373911755823,1.258644758497759,1.6402869300738854,0.8645037573663137,0.690909796904055,0.9972549360816934,1.1921940991259647,1.0
