Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-02-04,Suvarnabhumi,Train,-0.1666319032669682,-0.9749279121818236,0.008523113242063413,-0.044067285536736334,0.2700667749571636,0.255385156671929,-0.87480336682131,0.0
2023-02-05,Suvarnabhumi,Train,0.13642280739033907,-0.7818314824680299,-0.05870894963190429,0.1484799265658296,0.27383525213672527,0.24093095918239807,-0.5292387781708515,0.0
2023-02-06,Suvarnabhumi,Train,0.5062799005043646,0.0,0.24348877627582682,0.43168478436668695,0.27548718733872535,0.24218008736050567,-0.5365194012807932,1.0
2023-02-07,Suvarnabhumi,Train,0.35108656077259837,0.7818314824680298,0.3076018259236826,0.33420775823976295,0.2847276998749119,0.2554446389661245,-0.3488240233091553,1.0
2023-02-08,Suvarnabhumi,Train,0.2235917698643495,0.9749279121818236,0.3349798309084427,0.3562704596265153,0.29061271903203595,0.2605006339727504,-0.32080207137680405,1.0
2023-02-09,Suvarnabhumi,Train,-0.5039024683533263,0.43388373911755823,0.31002772509954746,0.17254832807865034,0.290922456882411,0.243667144715396,-0.3679762077435206,1.0
2023-02-10,Suvarnabhumi,Train,0.8048539635578676,-0.433883739117558,0.7307479535995309,0.3923730618957464,0.29799480446597215,0.1478411687662849,1.174526456993399,1.0
2023-02-11,Suvarnabhumi,Train,-0.011031231934856122,-0.9749279121818236,0.03382177607608219,-0.14154431166366033,0.3628848841195263,0.2105355068484466,2.0607201432398097,0.0
2023-02-12,Suvarnabhumi,Train,0.10953892176751344,-0.7818314824680299,-0.04761912482795086,0.15690386709531684,0.40820985622439493,0.23325774323116602,1.8563155574012102,0.0
2023-02-13,Suvarnabhumi,Train,0.45536345046113424,0.0,0.3055224837729414,0.5211390099893374,0.4148175970323945,0.22933191181425602,1.867437263548544,1.0
2023-02-14,Suvarnabhumi,Train,0.3315346439559979,0.7818314824680298,0.34710932678776674,0.3683046603829257,0.44238426571576567,0.22189662503980592,1.8034935290297271,1.0
2023-02-15,Suvarnabhumi,Train,0.2631029350978963,0.9749279121818236,0.3370591730591839,0.24274783249104415,0.44150667513970293,0.2190414749184178,1.7909329946806016,1.0
2023-02-16,Suvarnabhumi,Train,0.41055697442309147,0.43388373911755823,0.3575060375414731,-0.47368825254058655,0.46690517887044997,0.22481125745539032,1.7981040545153442,1.0
2023-02-17,Suvarnabhumi,Train,0.7857093783416129,-0.433883739117558,1.166370134179827,0.8151746484709641,0.48750274592038473,0.358349007924512,0.15338577166317674,1.0
