Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,temperature_max,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-04-05,Makkasan,Train,13222.0,369.0,139.0,36.3,0,0.9749279121818236,-0.22252093395631434,11497.0,12307.0,11215.57142857143,1632.9372163010432,12032.42857142857,1777.130726493578,1.0
2023-04-06,Makkasan,Train,8115.0,-5107.0,133.0,35.1,0,0.43388373911755823,-0.900968867902419,11912.0,12854.0,11325.285714285714,1680.1161382759478,12163.142857142857,1833.4507018707777,0.0
2023-04-07,Makkasan,Train,12020.0,3905.0,95.0,33.0,0,-0.433883739117558,-0.9009688679024191,12522.0,13840.0,10710.42857142857,2151.1382922492467,11486.142857142857,2340.6239501873124,1.0
2023-04-08,Makkasan,Train,8429.0,-3591.0,76.0,34.5,0,-0.9749279121818236,-0.2225209339563146,9557.0,10487.0,10483.57142857143,2007.1671460994492,11226.142857142857,2126.902397742735,0.0
2023-04-09,Makkasan,Train,7514.0,-915.0,79.0,35.0,0,-0.7818314824680299,0.6234898018587334,8329.0,8764.0,10229.142857142857,2243.196783504262,10932.142857142857,2373.9877441814647,0.0
2023-04-10,Makkasan,Train,10837.0,3323.0,70.0,35.0,0,0.0,1.0,12557.0,13122.0,10008.57142857143,2520.0068027119187,10753.57142857143,2600.466295182644,1.0
2023-04-11,Makkasan,Train,10528.0,-309.0,99.0,34.3,0,0.7818314824680298,0.6234898018587336,12135.0,12853.0,9675.285714285714,2268.5153525515248,10427.142857142857,2388.380443492439,1.0
2023-04-12,Makkasan,Train,9914.0,-614.0,107.0,34.4,0,0.9749279121818236,-0.22252093395631434,12265.0,13222.0,9324.714285714286,1998.6039889788003,10095.0,2143.957555550017,1.0
2023-04-13,Makkasan,Train,6862.0,-3052.0,129.0,36.0,1,0.43388373911755823,-0.900968867902419,7608.0,8115.0,8878.142857142857,1525.3270063139084,9622.42857142857,1646.7488026555932,0.0
2023-04-14,Makkasan,Train,6683.0,-179.0,146.0,35.2,1,-0.433883739117558,-0.9009688679024191,10934.0,12020.0,8648.42857142857,1837.6070360791764,9443.42857142857,1888.2985160493824,0.0
2023-04-15,Makkasan,Train,6747.0,64.0,155.0,35.6,1,-0.9749279121818236,-0.2225209339563146,7776.0,8429.0,7905.142857142857,1811.1246440238617,8681.0,1746.720355408966,0.0
2023-04-16,Makkasan,Train,5705.0,-1042.0,154.0,33.1,1,-0.7818314824680299,0.6234898018587334,6785.0,7514.0,7660.142857142857,1942.7233830005828,8440.714285714286,1896.4389184544277,0.0
2023-04-17,Makkasan,Train,9226.0,3521.0,152.0,34.4,1,0.0,1.0,10224.0,10837.0,7438.428571428572,2137.993284768307,8182.285714285715,2150.066643485407,0.0
2023-04-18,Makkasan,Train,11563.0,2337.0,147.0,34.6,0,0.7818314824680298,0.6234898018587336,9681.0,10528.0,7129.571428571428,1797.5805830006746,7952.142857142857,1888.9058057132381,1.0
2023-04-19,Makkasan,Train,11685.0,122.0,151.0,35.0,0,0.9749279121818236,-0.22252093395631434,9139.0,9914.0,7249.857142857143,2012.1325692385597,8100.0,2147.0137400585104,1.0
2023-04-20,Makkasan,Train,11583.0,-102.0,147.0,37.2,0,0.43388373911755823,-0.900968867902419,6000.0,6862.0,7510.428571428572,2381.7133788614674,8353.0,2475.6000619378515,1.0
2023-04-21,Makkasan,Train,11999.0,416.0,142.0,36.7,0,-0.433883739117558,-0.9009688679024191,5731.0,6683.0,8165.714285714285,2523.6697297312867,9027.42857142857,2639.362792868947,1.0
2023-04-22,Makkasan,Train,7416.0,-4583.0,149.0,37.2,0,-0.9749279121818236,-0.2225209339563146,6061.0,6747.0,8862.142857142857,2409.893664913568,9786.857142857143,2617.065304787752,0.0
2023-04-23,Makkasan,Train,6594.0,-822.0,118.0,34.8,0,-0.7818314824680299,0.6234898018587334,5233.0,5705.0,8947.42857142857,2302.4064843219344,9882.42857142857,2497.0142074848013,0.0
2023-04-24,Makkasan,Train,11735.0,5141.0,125.0,36.3,0,0.0,1.0,8062.0,9226.0,9082.57142857143,2063.404376036769,10009.42857142857,2260.5467522366384,1.0
2023-04-25,Makkasan,Train,12165.0,430.0,89.0,35.7,0,0.7818314824680298,0.6234898018587336,10523.0,11563.0,9497.285714285714,2115.1785357494773,10367.857142857143,2313.906107902925,1.0
