Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2024-10-06,Makkasan,Test,-0.5762040975541214,0.2811635063541594,0.06067566440536308,0,-0.7818314824680299,0.6234898018587334,-0.7304148236068174,-0.7244840901244539,0.9220398363632939,0.855770751356377,0.9740859788848253,0.9468351174643994,0.0
2024-10-07,Makkasan,Test,2.166978267312547,-0.3085913241833798,0.15442391084128687,0,0.0,1.0,1.1160626888823173,1.1245212064039534,0.9241001549800906,0.8401540972845585,0.9752092351462217,0.937926850369395,1.0
2024-10-08,Makkasan,Test,0.07027578896513632,-0.8636546941010638,-0.03307258203055738,0,0.7818314824680298,0.6234898018587336,1.0900657274712633,1.1170155371804884,0.9400510087875522,0.8788024019696451,0.9567379099588192,0.9029090771107339,1.0
2024-10-09,Makkasan,Test,0.10310642897018953,-0.5861230091422218,-0.8768067999538598,0,0.9749279121818236,-0.22252093395631434,1.0394583092577447,1.08438219273064,0.974145958801,0.9607842295145677,0.9508720161493068,0.8906176248770852,1.0
2024-10-10,Makkasan,Test,0.2660436793656388,0.10770620325488314,-0.3143173213383254,0,0.43388373911755823,-0.900968867902419,1.2529800189805356,1.2658235878717967,1.0182766543349757,1.0527067810208954,0.9674712475677153,0.9273178874448627,1.0
2024-10-11,Makkasan,Test,0.20484088133152728,-0.20451694232381407,0.10754978762332497,0,-0.433883739117558,-0.9009688679024191,1.415201058185513,1.537985680583532,1.0669267584477313,1.198077568156321,0.9906852103032338,1.0011494160644583,1.0
2024-10-12,Makkasan,Test,-2.098573034084737,0.3852378882137251,0.06067566440536308,1,-0.9749279121818236,-0.2225209339563146,-0.31931620716001546,-0.25652193071362867,1.1074020499841637,1.336722475425914,0.9937429634592563,1.0142242069544534,0.0
2024-10-13,Makkasan,Test,-0.5697190328617652,-0.482048627282656,-0.12682082846648116,1,-0.7818314824680299,0.6234898018587334,-0.7196694128902484,-0.7186100881234813,1.1601727913305147,1.0670669397623047,1.0172065386973075,0.8926950261068016,0.0
2024-10-14,Makkasan,Test,0.1395849178646931,-0.20451694232381407,0.4825427733670168,1,0.0,1.0,1.1992529653976904,1.0279265068324024,1.1795132015720606,0.9122143039731899,1.0416685639454883,0.6958542435396895,0.0
2024-10-15,Makkasan,Test,2.232234230779381,0.41992934883358035,0.10754978762332497,0,0.7818314824680298,0.6234898018587336,1.2678849435228732,1.0863401933976309,0.8357723020212748,1.6718659422121844,0.7539901547768305,1.3177824004511047,1.0
